"","greedy","karmarkar-karp","RA"
"537",32,26,32
"538",32,26,22
"539",32,26,24
"540",32,26,74
"541",32,26,24
"542",32,26,24
"543",32,26,44
"544",32,26,38
"545",32,26,38
"546",32,26,204
"547",32,26,472
"548",32,26,38
"549",32,26,32
"550",32,26,22
"551",32,26,38
"552",32,26,18
"553",32,26,68
"554",32,26,62
"555",32,26,30
"556",32,26,38
"557",32,26,30
"558",32,26,410
"559",32,26,204
"560",32,26,32
"561",32,26,228
"562",32,26,30
"563",32,26,472
"564",32,26,410
"565",32,26,24
"566",32,26,38
"567",32,26,18
"568",32,26,68
"569",32,26,32
"570",32,26,18
"571",32,26,24
"572",32,26,68
"573",32,26,32
"574",32,26,22
"575",32,26,36
"576",32,26,30
"577",32,26,472
"578",32,26,32
"579",32,26,204
"580",32,26,204
"581",32,26,32
"582",32,26,30
"583",32,26,30
"584",32,26,36
"585",32,26,228
"586",32,26,410
"587",32,26,24
"588",32,26,18
"589",32,26,26
"590",32,26,24
"591",32,26,30
"592",32,26,18
"593",32,26,68
"594",32,26,68
"595",32,26,30
"596",32,26,30
"597",32,26,38
"598",32,26,22
"599",32,26,30
"600",32,26,24
"601",32,26,36
"602",32,26,18
"603",32,26,24
"604",32,26,0
"605",32,26,62
"606",32,26,32
"607",32,26,228
"608",32,26,32
"609",32,26,38
"610",32,26,36
"611",32,26,32
"612",32,26,30
"613",32,26,26
"614",32,26,38
"615",32,26,204
"616",32,26,30
"617",32,26,62
"618",32,26,38
"619",32,26,18
"620",32,26,30
"621",32,26,472
"622",32,26,38
"623",32,26,472
"624",32,26,38
"625",32,26,30
"626",32,26,22
"627",32,26,36
"628",32,26,32
"629",32,26,26
"630",32,26,0
"631",32,26,26
"632",32,26,26
"633",32,26,32
"634",32,26,68
"635",32,26,22
"636",32,26,26
"637",32,26,26
"638",32,26,22
"639",32,26,26
"640",32,26,0
"641",32,26,68
"642",32,26,24
"643",32,26,0
"644",32,26,38
"645",32,26,24
"646",32,26,26
"647",32,26,228
"648",32,26,410
"649",32,26,18
"650",32,26,24
"651",32,26,204
"652",32,26,36
"653",32,26,410
"654",32,26,74
"655",32,26,30
"656",32,26,24
"657",32,26,26
"658",32,26,32
"659",32,26,32
"660",32,26,36
"661",32,26,0
"662",32,26,32
"663",32,26,32
"664",32,26,32
"665",32,26,38
"666",32,26,26
"667",32,26,0
"668",32,26,68
"669",32,26,0
"670",32,26,30
"671",32,26,32
"672",32,26,410
"673",32,26,68
"674",32,26,0
"675",32,26,44
"676",32,26,62
"677",32,26,18
"678",32,26,32
"679",32,26,22
"680",32,26,228
"681",32,26,24
"682",32,26,30
"683",32,26,0
"684",32,26,36
"685",32,26,36
"686",32,26,204
"687",32,26,26
"688",32,26,0
"689",32,26,32
"690",32,26,44
"691",32,26,32
"692",32,26,32
"693",32,26,36
"694",32,26,26
"695",32,26,32
"696",32,26,24
"697",32,26,32
"698",32,26,68
"699",32,26,32
"700",32,26,204
"701",32,26,472
"702",32,26,68
"703",32,26,36
"704",32,26,24
"705",32,26,24
"706",32,26,30
"707",32,26,36
"708",32,26,22
"709",32,26,18
"710",32,26,62
"711",32,26,0
"712",32,26,24
"713",32,26,204
"714",32,26,38
"715",32,26,36
"716",32,26,204
"717",32,26,32
"718",32,26,36
"719",32,26,410
"720",32,26,62
"721",32,26,30
"722",32,26,32
"723",32,26,204
"724",32,26,62
"725",32,26,36
"726",32,26,0
"727",32,26,22
"728",32,26,30
"729",32,26,228
"730",32,26,38
"731",32,26,68
"732",32,26,410
"733",32,26,18
"734",32,26,44
"735",32,26,38
"736",32,26,18
"737",32,26,68
"738",32,26,68
"739",32,26,38
"740",32,26,38
"741",32,26,26
"742",32,26,36
"743",32,26,38
"744",32,26,22
"745",32,26,44
"746",32,26,32
"747",32,26,36
"748",32,26,36
"749",32,26,68
"750",32,26,26
"751",32,26,204
"752",32,26,228
"753",32,26,62
"754",32,26,30
"755",32,26,22
"756",32,26,18
"757",32,26,18
"758",32,26,44
"759",32,26,0
"760",32,26,26
"761",32,26,30
"762",32,26,22
"763",32,26,18
"764",32,26,68
"765",32,26,30
"766",32,26,38
"767",32,26,26
"768",32,26,30
"769",32,26,30
"770",32,26,32
"771",32,26,30
"772",32,26,32
"773",32,26,472
"774",32,26,26
